s,H,F2,Var_cross,kappa_th
20,0.55,1.4503848416703167,0.4847686862105751,4.339422592228359
20,0.6,1.5791674040016588,0.6355430713462059,3.9238405739819346
20,0.65,1.6977910195038302,0.8061123560811077,3.5757972498040096
20,0.7,1.7933297278802436,0.9800969828730204,3.281340080725146
20,0.75,1.8467356966026656,1.1256323000827033,3.029792884280203
20,0.8,1.8304440982850605,1.1911164622658987,2.812928628803263
20,0.85,1.7051099221808108,1.1078529073426098,2.624355478466349
20,0.9,1.4151739170795081,0.8144224605000006,2.459064321915465
20,0.95,0.8828514726379234,0.33696264477621973,2.313095338079908
40,0.55,3.129554325397434,2.194823547285105,4.462367960161831
40,0.6,3.6494770734573505,3.3235795730610214,4.007330836199689
40,0.65,4.203182059595973,4.861551091768543,3.6339717700431704
40,0.7,4.756801184217702,6.809312754360501,3.3229722767081165
40,0.75,5.248977904083404,9.002607372531333,3.060421042199562
40,0.8,5.575500867909992,10.960885923827547,2.8361037733717924
40,0.85,5.566343875821649,11.725830789589791,2.642387110975964
40,0.9,4.951572237244349,9.912399942557387,2.473474412123385
40,0.95,3.3109778159354675,4.715289676220731,2.324899391208393
60,0.55,4.894341459335179,5.341654424090161,4.484486718671877
60,0.6,5.942759145376133,8.781772425998511,4.021555620753415
60,0.65,7.126942045004052,13.940938801267604,3.6434635885660773
60,0.7,8.3989232616382,21.18657661539306,3.3295568810128198
60,0.75,9.651141857574645,30.38798541646914,3.065176512311624
60,0.8,10.67558683097538,40.13416373581242,2.8396793050405376
60,0.85,11.099107432274167,46.57155822013278,2.645180674669992
60,0.9,10.28195808414738,42.70194538395423,2.475734093460967
60,0.95,7.159900168700108,22.032215319134405,2.326782381308258
80,0.55,6.718963781269272,10.049907164175455,4.492028986589366
80,0.6,8.395885261738261,17.50772757602824,4.02627291418394
80,0.65,10.36240819881252,29.446904696505108,3.646546378491225
80,0.7,12.568006339820569,47.410122068152816,3.331667932234122
80,0.75,14.863160111849734,72.03638564322223,3.0666936790056223
80,0.8,16.920646826860594,100.78358528983954,2.840822622215361
80,0.85,18.105401245073697,123.88342537629964,2.646080807415495
80,0.9,17.262048348247884,120.32380754885729,2.4764701121700616
80,0.95,12.37145913999499,65.76127893459045,2.32740305134272
100,0.55,8.589806535723453,16.413212441900455,4.4954500273691655
100,0.6,10.975575217330997,29.903700382609852,4.028372736818362
100,0.65,13.851781658729163,52.597888413101636,3.647900341818896
100,0.7,17.179025593361736,88.55546787700209,3.332588347308818
100,0.75,20.77459539033436,140.70230239404407,3.0673543096930196
100,0.8,24.18405303899905,205.84374319259237,2.841322317219534
100,0.85,26.461347716605797,264.57926047541883,2.6464769828176777
100,0.9,25.79814491663633,268.7116998187278,2.4767968108152463
100,0.95,18.906444889070134,153.56643579758708,2.3276808925525816
150,0.55,13.42028190389511,40.03421967593529,4.49875051488204
150,0.6,17.856779927911436,79.11569398259624,4.0303582430055425
150,0.65,23.46842122949148,150.92960892867546,3.649163334578845
150,0.7,30.309748403351417,275.5953069571009,3.333441553913926
150,0.75,38.17016701831549,474.89481061156556,3.0679670900800886
150,0.8,46.27321276873125,753.4727423028146,2.8417885607861013
150,0.85,52.725721833658696,1050.3057684480177,2.646849923511529
150,0.9,53.531532212172706,1156.8432688366383,2.477107330074761
150,0.95,40.85470713836162,716.9866172406023,2.32794734968001
200,0.55,18.417089903567994,75.3775079616661,4.499872835920814
200,0.6,25.220414431082077,157.79372525837715,4.031017729215849
200,0.65,34.11335936920883,318.8647367190564,3.6495766180570577
200,0.7,45.34356560180804,616.7402836082186,3.3337192269275504
200,0.75,58.7693480132451,1125.7001712304027,3.068167132040883
200,0.8,73.3247216325654,1891.8452784664237,2.8419421311512
200,0.85,85.98794438301348,2793.3504670874413,2.646974186137727
200,0.9,89.85022469125397,3258.930971286458,2.4772119901275467
200,0.95,70.5742356080477,2139.450734192696,2.3280380576464466
300,0.55,28.770021922447437,183.90977562765264,4.500653424176389
300,0.6,41.027728963368986,417.5339926566854,4.031467074528056
300,0.65,57.790604875066286,915.0374818776688,3.649854872581631
300,0.7,79.99388478168703,1919.3769164843718,3.333905679238131
300,0.75,107.96945374752237,3799.3008635730516,3.068302132717957
300,0.8,140.2845036091743,6924.496179303201,2.8420467631556656
300,0.85,171.31930169840768,11087.888337233459,2.6470597684385804
300,0.9,186.4221345429096,14028.751342857175,2.4772847845242834
300,0.95,152.48746796417774,9987.720202230757,2.3281016503578766
400,0.55,39.48019312796094,346.3038725726594,4.500918912173181
400,0.6,57.94411540282103,832.7975546338832,4.031616676986382
400,0.65,84.00060541720028,1933.2068994778663,3.649946476169693
400,0.7,119.6673293763271,4295.2643694597755,3.3339670130393975
400,0.75,166.23158232640904,9005.806770865689,3.0683468639518092
400,0.8,222.28812924386312,17385.851470941805,2.8420818206874805
400,0.85,279.3874347644606,29487.99432016195,2.647088773036532
400,0.9,312.8902965796141,39518.812634589995,2.4773096954838345
400,0.95,263.4042878648595,29801.604892958665,2.3281235730357217
600,0.55,61.67145556443176,844.9857510723076,4.501103629983243
600,0.6,94.25895136052604,2203.7126775974875,4.0317188360835985
600,0.65,142.29984365531828,5547.725589106064,3.6500084907031067
600,0.7,211.10891724745133,13367.384560835324,3.3340085892319293
600,0.75,305.38916498501135,30394.74253863122,3.0683774330941382
600,0.8,425.27077605602136,63634.23134915414,2.8421060352714496
600,0.85,556.6284073315559,117046.6282280802,2.6471090072301044
600,0.9,649.1720978487826,170112.53530634887,2.4773272108752185
600,0.95,569.1147740526368,139120.39433762446,2.328139073980391
800,0.55,84.6288371068968,1591.152003693797,4.501166484056379
800,0.6,133.12216522190383,4395.485333145821,4.031752930610893
800,0.65,206.83590717233537,11720.754047481409,3.6500290273556133
800,0.7,315.8071201750547,29914.057296472783,3.334022401736232
800,0.75,470.1785756921417,72046.92346080928,3.0683876898663596
800,0.8,673.8584042958705,159770.19514559922,2.8421142543286453
800,0.85,907.741912724226,311280.42648828524,2.6471159443340286
800,0.9,1089.5590872065836,479200.3657234252,2.477333260633636
800,0.95,983.0706428995209,415106.49687550607,2.3281444549896246
